runs,NotOut,mins,bf,fours,sixes,sr,Inns,Opp,Ground,Date
33,1,57,29,6,0,113.79,2,West Indies,Thiruvananthapuram,1 Nov 2018
3,0,10,8,0,0,37.50,2,Australia,Sydney,12 Jan 2019
104,0,150,112,5,2,92.85,2,Australia,Adelaide,15 Jan 2019
46,0,-,62,3,0,74.19,2,Australia,Melbourne,18 Jan 2019
45,0,59,59,3,0,76.27,2,New Zealand,Napier,23 Jan 2019
43,0,59,45,5,0,95.55,1,New Zealand,Mount Maunganui,26 Jan 2019
60,0,94,74,6,1,81.08,2,New Zealand,Mount Maunganui,28 Jan 2019
44,0,-,45,6,1,97.77,2,Australia,Hyderabad (Deccan),2 Mar 2019
116,0,-,120,10,0,96.66,1,Australia,Nagpur,5 Mar 2019
123,0,-,95,16,1,129.47,2,Australia,Ranchi,8 Mar 2019
7,0,-,6,1,0,116.66,1,Australia,Mohali,10 Mar 2019
20,0,-,22,2,0,90.90,2,Australia,Delhi,13 Mar 2019
18,0,44,34,1,0,52.94,2,South Africa,Southampton,5 Jun 2019
82,0,128,77,4,2,106.49,1,Australia,The Oval,9 Jun 2019
77,0,105,65,7,0,118.46,1,Pakistan,Manchester,16 Jun 2019
67,0,105,63,5,0,106.34,1,Afghanistan,Southampton,22 Jun 2019
72,0,146,82,8,0,87.80,1,West Indies,Manchester,27 Jun 2019
66,0,103,76,7,0,86.84,2,England,Birmingham,30 Jun 2019
26,0,45,27,3,0,96.29,1,Bangladesh,Birmingham,2 Jul 2019
34,1,61,41,3,0,82.92,2,Sri Lanka,Leeds,6 Jul 2019
1,0,8,6,0,0,16.66,2,New Zealand,Manchester,9 Jul 2019
TDNB,0,-,-,-,-,-,-,West Indies,Providence,8 Aug 2019
120,0,179,125,14,1,96.00,1,West Indies,Port of Spain,11 Aug 2019
114,1,127,99,14,0,115.15,2,West Indies,Port of Spain,14 Aug 2019
4,0,-,4,1,0,100.00,1,West Indies,Chennai,15 Dec 2019
0,0,-,1,0,0,0.00,1,West Indies,Visakhapatnam,18 Dec 2019
85,0,-,81,9,0,104.93,2,West Indies,Cuttack,22 Dec 2019
16,0,-,14,0,1,114.28,1,Australia,Mumbai,14 Jan 2020
78,0,-,76,6,0,102.63,1,Australia,Rajkot,17 Jan 2020
89,0,-,91,8,0,97.80,2,Australia,Bengaluru,19 Jan 2020
51,0,88,63,6,0,80.95,1,New Zealand,Hamilton,5 Feb 2020
15,0,31,25,1,0,60.00,2,New Zealand,Auckland,8 Feb 2020
9,0,20,12,0,1,75.00,1,New Zealand,Mount Maunganui,11 Feb 2020
